Geneid	Chr	Start	End	Strand	Length	data/BAM_sorted/A-B-1_sorted.bam	data/BAM_sorted/A-B-2_sorted.bam	data/BAM_sorted/A-F-1_sorted.bam	data/BAM_sorted/A-F-2_sorted.bam	data/BAM_sorted/A-R-1_sorted.bam	data/BAM_sorted/A-R-2_sorted.bam	data/BAM_sorted/M-B-1_sorted.bam	data/BAM_sorted/M-B-2_sorted.bam	data/BAM_sorted/M-F-1_sorted.bam	data/BAM_sorted/M-F-2_sorted.bam	data/BAM_sorted/M-R-1_sorted.bam	data/BAM_sorted/M-R-2_sorted.bam	data/BAM_sorted/P-1_sorted.bam	data/BAM_sorted/P-2_sorted.bam
BW25113_RS12675	NZ_CP009273.1	2541461	2542762	+	1302	248	439	260	412	232	331	2600	2125	1779	2453	1865	2714	532	556
BW25113_RS12680	NZ_CP009273.1	2543008	2543904	-	897	7446	11416	6513	10247	6825	10675	6387	6232	6330	16460	6896	8349	6858	6734
BW25113_RS12685	NZ_CP009273.1	2544003	2544575	-	573	703	1096	571	906	562	760	525	462	551	798	383	547	1128	1177
BW25113_RS12690	NZ_CP009273.1	2544639	2545085	-	447	329	536	286	435	295	372	218	194	227	440	218	226	650	594
BW25113_RS12695	NZ_CP009273.1	2545075	2545497	-	423	592	835	440	742	521	694	550	492	550	1022	569	669	1202	1149
BW25113_RS12700	NZ_CP009273.1	2545711	2546577	+	867	823	1013	647	863	808	843	524	419	617	763	385	475	1286	1196
BW25113_RS12705	NZ_CP009273.1	2546584	2547480	+	897	686	710	518	634	549	534	402	346	444	669	266	320	1021	947
BW25113_RS12710	NZ_CP009273.1	2547492	2548541	-	1050	100	171	98	161	134	136	127	122	130	204	107	144	249	232
BW25113_RS12715	NZ_CP009273.1	2548590	2549087	-	498	63	139	72	79	80	104	151	63	107	160	93	142	180	148
BW25113_RS12720	NZ_CP009273.1	2549103	2549759	-	657	137	165	121	182	143	161	190	161	185	390	161	235	239	223
BW25113_RS12725	NZ_CP009273.1	2549772	2550656	-	885	271	408	188	304	191	308	466	351	425	803	364	556	473	432
BW25113_RS12730	NZ_CP009273.1	2550680	2552038	-	1359	1439	2044	1370	1725	1474	1730	1533	1403	1391	2492	1202	1548	2513	2659
BW25113_RS12735	NZ_CP009273.1	2552217	2553422	+	1206	585	728	542	660	622	750	641	521	646	775	647	623	660	672
BW25113_RS12740	NZ_CP009273.1	2553616	2554254	+	639	56	97	55	80	49	79	48	46	32	73	36	44	93	73
BW25113_RS12745	NZ_CP009273.1	2554727	2554969	+	243	16	23	10	13	15	7	13	15	24	20	15	21	28	27
BW25113_RS12750	NZ_CP009273.1	2554984	2555349	+	366	7	8	1	5	1	0	7	9	5	5	3	7	9	11
BW25113_RS12755	NZ_CP009273.1	2555470	2555883	+	414	8	13	3	16	11	5	3	9	7	8	15	6	23	20
BW25113_RS12760	NZ_CP009273.1	2555883	2556473	+	591	36	42	19	33	21	27	19	23	24	31	13	18	64	31
BW25113_RS12765	NZ_CP009273.1	2556951	2557325	+	375	12	12	7	11	11	6	8	14	11	12	13	4	14	9
BW25113_RS12770	NZ_CP009273.1	2557339	2557728	+	390	5	20	15	16	15	15	10	19	9	22	9	13	34	22
BW25113_RS12775	NZ_CP009273.1	2557882	2558688	+	807	242	404	261	339	258	351	539	461	484	764	403	682	486	501
BW25113_RS12780	NZ_CP009273.1	2558843	2560243	-	1401	36	22	30	34	23	22	21	22	27	46	17	21	73	65
BW25113_RS12785	NZ_CP009273.1	2560243	2561466	-	1224	23	24	22	32	19	28	30	23	19	61	18	22	71	85
BW25113_RS12790	NZ_CP009273.1	2561686	2562870	-	1185	16	15	12	16	5	17	11	18	18	37	18	33	42	39
BW25113_RS12795	NZ_CP009273.1	2562863	2563696	-	834	4	6	1	14	4	3	13	14	6	12	2	13	23	23
BW25113_RS12800	NZ_CP009273.1	2563710	2565110	-	1401	14	13	9	24	14	9	24	17	16	25	13	38	38	46
BW25113_RS12805	NZ_CP009273.1	2565125	2565409	-	285	5	2	2	1	5	4	4	4	3	6	1	5	5	5
BW25113_RS12810	NZ_CP009273.1	2565519	2565809	-	291	14	30	14	10	6	26	41	30	25	49	14	40	56	37
BW25113_RS12815	NZ_CP009273.1	2565851	2566864	-	1014	16	21	5	18	14	23	61	42	50	35	19	63	59	53
BW25113_RS12820	NZ_CP009273.1	2566864	2567664	-	801	7	14	14	17	13	10	27	36	34	51	31	42	41	33
BW25113_RS12825	NZ_CP009273.1	2567664	2568362	-	699	10	24	3	8	7	8	30	26	23	46	22	53	37	32
BW25113_RS12830	NZ_CP009273.1	2568340	2568816	-	477	3	1	0	2	0	2	11	12	21	18	16	26	14	17
BW25113_RS12835	NZ_CP009273.1	2568832	2569164	-	333	0	2	2	5	0	0	18	11	9	4	9	27	10	11
BW25113_RS12840	NZ_CP009273.1	2569460	2571736	-	2277	729	1182	649	994	898	1062	6449	6247	6521	7565	5362	12105	6186	5514
BW25113_RS12845	NZ_CP009273.1	2572025	2572972	+	948	171	190	93	117	92	123	503	578	454	638	367	623	1044	856
BW25113_RS12850	NZ_CP009273.1	2572995	2574995	+	2001	306	374	203	249	174	209	368	431	343	719	272	436	2013	1710
BW25113_RS12855	NZ_CP009273.1	2575096	2576136	-	1041	61	89	55	76	68	55	71	60	63	79	36	47	100	118
BW25113_RS12860	NZ_CP009273.1	2576265	2576837	-	573	270	464	295	378	305	458	336	304	304	468	307	387	489	433
BW25113_RS12865	NZ_CP009273.1	2576908	2578884	-	1977	1450	2184	1191	1858	1172	1879	2710	1967	2477	3435	2425	3881	3073	2872
BW25113_RS12870	NZ_CP009273.1	2579090	2580787	+	1698	533	786	497	618	501	624	296	328	316	411	222	326	783	738
BW25113_RS12875	NZ_CP009273.1	2580954	2584064	+	3111	665	1014	611	927	627	789	381	367	379	745	292	354	707	675
BW25113_RS25220	NZ_CP009273.1	2584169	2584225	-	57	140	219	98	168	105	202	3454	3569	2763	3741	2836	3607	1504	1347
BW25113_RS12885	NZ_CP009273.1	2584606	2584959	+	354	172	227	210	225	221	281	468	418	353	350	374	642	513	446
BW25113_RS12890	NZ_CP009273.1	2584966	2586090	+	1125	1023	1505	962	1307	1206	1457	1534	1279	1424	1957	1219	1825	2353	2248
BW25113_RS12895	NZ_CP009273.1	2586121	2586318	+	198	172	310	140	220	162	244	192	216	225	228	180	250	354	339
BW25113_RS12900	NZ_CP009273.1	2586434	2587129	-	696	441	700	361	576	385	587	470	441	401	746	414	467	831	746
BW25113_RS12905	NZ_CP009273.1	2587206	2589218	-	2013	1547	1949	1273	1662	1075	1590	1459	980	1178	2151	935	1167	2028	1954
BW25113_RS12910	NZ_CP009273.1	2589236	2590096	-	861	718	1162	637	895	708	878	766	791	738	1256	592	789	1223	1293
BW25113_RS12915	NZ_CP009273.1	2590267	2590977	-	711	511	807	422	612	457	730	434	404	363	745	372	365	915	939
BW25113_RS12925	NZ_CP009273.1	2591193	2592224	-	1032	6208	8921	5101	7638	5664	7875	5429	4686	5278	11163	4590	6134	9594	9367
BW25113_RS12930	NZ_CP009273.1	2592244	2593119	-	876	7259	10692	6027	8748	7071	9130	8128	7183	7591	12271	7315	9572	12985	12543
BW25113_RS12935	NZ_CP009273.1	2593265	2593834	+	570	838	1209	733	829	814	1028	1225	1010	1096	1538	1007	1477	1274	1350
BW25113_RS12940	NZ_CP009273.1	2593837	2594304	+	468	3867	4887	3164	4328	3564	5168	3457	2794	3121	4253	3736	3858	4143	4153
BW25113_RS12945	NZ_CP009273.1	2594560	2595174	+	615	12	16	11	14	5	16	10	4	11	11	4	11	5	16
BW25113_RS12950	NZ_CP009273.1	2595177	2597192	+	2016	66	102	49	79	48	94	57	55	66	114	38	52	65	92
BW25113_RS12955	NZ_CP009273.1	2597206	2598150	+	945	18	14	7	17	10	19	13	17	17	28	10	13	22	21
BW25113_RS12960	NZ_CP009273.1	2598170	2599606	+	1437	20	44	23	33	29	25	27	19	14	32	12	21	26	30
BW25113_RS12965	NZ_CP009273.1	2599621	2600268	+	648	6	25	8	8	8	9	15	4	7	15	11	14	18	24
BW25113_RS12970	NZ_CP009273.1	2600276	2601853	+	1578	57	70	48	65	47	52	59	42	60	83	40	48	78	77
BW25113_RS12975	NZ_CP009273.1	2601846	2603510	+	1665	118	141	85	132	93	105	134	102	111	239	88	133	148	172
BW25113_RS12980	NZ_CP009273.1	2603523	2604065	+	543	42	61	44	46	39	32	48	43	39	48	35	49	74	70
BW25113_RS12985	NZ_CP009273.1	2604065	2604820	+	756	34	72	29	53	46	49	34	42	47	91	28	50	101	97
BW25113_RS12990	NZ_CP009273.1	2604816	2605226	+	411	10	26	14	10	24	7	9	12	15	13	7	17	17	25
BW25113_RS12995	NZ_CP009273.1	2605259	2607268	+	2010	99	138	105	127	90	114	143	116	116	216	81	116	166	138
BW25113_RS13000	NZ_CP009273.1	2607293	2608138	+	846	83	122	89	118	131	125	47	56	64	76	54	80	143	147
BW25113_RS13005	NZ_CP009273.1	2608182	2609240	-	1059	766	1030	605	892	711	900	705	635	670	1117	604	893	1472	1450
BW25113_RS13010	NZ_CP009273.1	2609453	2610913	+	1461	1242	1802	990	1368	961	1336	1973	1619	1941	2704	1550	2746	2718	2681
BW25113_RS13015	NZ_CP009273.1	2610937	2611293	+	357	472	774	436	638	487	688	485	481	545	780	528	607	909	898
BW25113_RS13020	NZ_CP009273.1	2611437	2612135	-	699	949	1378	780	1304	754	1142	671	397	553	997	574	488	1279	1280
BW25113_RS13025	NZ_CP009273.1	2612233	2613519	-	1287	955	1703	926	1439	1092	1618	171	132	228	450	259	109	598	560
BW25113_RS13030	NZ_CP009273.1	2613608	2614231	-	624	2869	4749	2590	4115	3155	4597	1106	1163	1093	2872	1433	1128	2677	2608
BW25113_RS13035	NZ_CP009273.1	2614556	2615590	+	1035	297	488	270	429	333	402	112	112	140	300	95	88	750	733
BW25113_RS13040	NZ_CP009273.1	2615593	2616228	+	636	568	707	506	640	585	731	461	384	441	552	362	421	733	711
BW25113_RS13045	NZ_CP009273.1	2616403	2618466	+	2064	2414	3360	2042	2751	2278	2741	3413	3099	3096	4338	2921	3975	4158	3847
BW25113_RS13050	NZ_CP009273.1	2618474	2620012	+	1539	1740	2280	1412	1909	1640	2054	2013	1747	1825	2811	1695	2343	2971	2719
BW25113_RS13055	NZ_CP009273.1	2620057	2622297	-	2241	409	685	357	549	327	573	167	94	166	221	109	143	447	393
BW25113_RS25940	NZ_CP009273.1	2622482	2622631	-	150	1	1	1	1	0	1	0	0	0	0	0	0	2	1
BW25113_RS13065	NZ_CP009273.1	2622649	2622837	+	189	289	436	289	313	295	354	354	284	272	375	224	298	724	594
BW25113_RS13070	NZ_CP009273.1	2623151	2623666	+	516	36	34	23	27	27	26	14	11	21	13	10	15	36	50
BW25113_RS13075	NZ_CP009273.1	2623685	2624221	+	537	37	86	49	56	53	68	13	9	19	22	10	12	48	28
BW25113_RS13080	NZ_CP009273.1	2624320	2625894	-	1575	23771	34222	21157	29412	27053	33163	11396	8968	10231	27868	12350	8156	17833	17004
BW25113_RS13085	NZ_CP009273.1	2625966	2627429	-	1464	22713	33378	20471	28383	25602	32951	4723	3895	4618	16362	5905	2393	17729	16487
BW25113_RS13090	NZ_CP009273.1	2627591	2628958	+	1368	4873	6451	4270	5609	4984	6171	859	607	755	1264	473	432	4680	4678
BW25113_RS13095	NZ_CP009273.1	2628961	2629173	-	213	271	402	223	373	288	326	118	80	137	183	89	55	271	263
BW25113_RS13100	NZ_CP009273.1	2629246	2630715	-	1470	5337	8232	4918	7345	5194	7320	2156	1924	2289	4501	1921	1736	4433	4311
BW25113_RS13105	NZ_CP009273.1	2630836	2632011	-	1176	5958	10064	5463	8504	6012	8659	3988	3422	3821	7904	3532	3713	7027	6709
BW25113_RS13110	NZ_CP009273.1	2632025	2632642	-	618	1926	3225	1760	2885	1907	2847	1333	1191	1403	1945	1192	1350	2526	2349
BW25113_RS13115	NZ_CP009273.1	2632663	2633934	-	1272	6704	10882	5924	8931	6734	9290	4605	3792	4338	7714	3824	4256	8318	8222
BW25113_RS13120	NZ_CP009273.1	2634048	2635163	-	1116	4348	6722	4105	6023	4282	5971	3916	3309	3609	6323	3230	3805	5582	5191
BW25113_RS13125	NZ_CP009273.1	2635193	2636203	-	1011	3462	5408	3385	4374	3210	4613	3109	2379	2905	4458	2526	3086	5313	4859
BW25113_RS13130	NZ_CP009273.1	2636491	2637642	-	1152	3686	5083	3105	4774	3410	4509	1258	969	1123	2468	833	717	3394	3458
BW25113_RS13135	NZ_CP009273.1	2637795	2638223	-	429	310	501	251	356	320	392	991	747	878	1217	875	855	682	698
BW25113_RS13140	NZ_CP009273.1	2638375	2640684	-	2310	416	537	326	450	307	403	362	295	362	542	291	380	505	560
BW25113_RS13145	NZ_CP009273.1	2640688	2645646	-	4959	2318	3347	2074	2833	2224	2736	4039	3562	3417	5746	3105	4793	4552	4391
BW25113_RS13150	NZ_CP009273.1	2645853	2646695	+	843	1215	1722	973	1383	941	1363	4787	4414	3969	7766	4105	5374	3380	3129
BW25113_RS26190	NZ_CP009273.1	2647360	2647482	+	123	195	236	170	197	163	165	128	127	119	147	126	104	208	255
BW25113_RS13155	NZ_CP009273.1	2647519	2648292	-	774	1276	1951	1212	1696	1347	1681	1017	1001	1036	1826	961	1092	1352	1151
BW25113_RS13160	NZ_CP009273.1	2648437	2649717	-	1281	2845	5116	2637	4324	2687	4382	2646	2396	2630	5675	2541	3018	3916	3423
BW25113_RS13165	NZ_CP009273.1	2649898	2650095	-	198	1050	1626	938	1290	994	1351	703	618	686	1284	720	539	919	918
BW25113_RS13170	NZ_CP009273.1	2650110	2650442	-	333	1380	2203	1328	1820	1459	1870	934	845	929	2172	928	743	1185	1218
BW25113_RS13175	NZ_CP009273.1	2650447	2652294	-	1848	6835	11351	6358	9524	6505	9911	4219	3219	4264	7777	3932	3598	6662	6373
BW25113_RS13180	NZ_CP009273.1	2652314	2652826	-	513	1542	2517	1460	1997	1528	2002	799	675	853	1552	734	633	1486	1431
BW25113_RS13185	NZ_CP009273.1	2652925	2653245	-	321	1462	2904	1546	2512	1626	2362	1052	1089	1199	2107	997	976	2296	2244
BW25113_RS13190	NZ_CP009273.1	2653265	2653648	-	384	1635	2827	1646	2318	1728	2222	1070	977	1038	1397	1033	954	2131	2126
BW25113_RS13195	NZ_CP009273.1	2653679	2654890	-	1212	5929	11836	6110	9103	6604	9204	4387	3764	4353	7448	3721	3693	9038	8437
BW25113_RS13200	NZ_CP009273.1	2655005	2655490	-	486	1182	2131	1150	1709	1141	1625	825	749	880	834	562	728	1886	1750
BW25113_RS13205	NZ_CP009273.1	2655945	2656682	-	738	2723	4088	2216	3671	2130	3570	2093	1356	1866	2537	1636	2023	3973	4027
BW25113_RS13210	NZ_CP009273.1	2656801	2657601	+	801	6205	7398	5108	6625	5436	6677	829	501	817	1988	590	313	2513	2500
BW25113_RS13215	NZ_CP009273.1	2657749	2658600	+	852	65	95	46	67	43	61	33	25	29	39	16	32	57	50
BW25113_RS13220	NZ_CP009273.1	2658794	2660071	+	1278	175	257	177	233	113	177	3185	2847	2587	4387	2752	3677	848	763
BW25113_RS13225	NZ_CP009273.1	2660069	2661205	-	1137	258	348	238	376	257	304	336	278	286	447	200	313	403	368
BW25113_RS13230	NZ_CP009273.1	2661368	2662255	-	888	26	23	15	16	13	26	178	176	174	246	152	178	92	113
BW25113_RS13235	NZ_CP009273.1	2662391	2663749	+	1359	126	205	95	181	139	159	185	149	172	278	119	184	297	301
BW25113_RS13240	NZ_CP009273.1	2663749	2664264	+	516	25	36	26	48	33	35	26	23	19	54	16	23	54	50
BW25113_RS13245	NZ_CP009273.1	2664267	2664584	+	318	7	23	11	16	15	10	13	11	3	19	14	16	22	28
BW25113_RS13250	NZ_CP009273.1	2664584	2665393	+	810	49	54	36	58	41	58	50	32	37	71	26	43	79	84
BW25113_RS13255	NZ_CP009273.1	2665406	2666605	+	1200	52	81	54	88	69	79	62	73	56	99	71	86	122	114
BW25113_RS13260	NZ_CP009273.1	2666705	2667124	+	420	68	70	40	66	54	55	120	114	107	147	104	139	293	270
BW25113_RS13265	NZ_CP009273.1	2667178	2668047	-	870	62	107	63	86	64	73	60	82	66	121	54	87	143	143
BW25113_RS13270	NZ_CP009273.1	2668062	2669153	-	1092	73	120	56	81	62	103	83	93	80	139	53	95	159	176
BW25113_RS13275	NZ_CP009273.1	2669189	2670184	-	996	28	42	25	30	33	50	43	43	37	39	25	74	60	64
BW25113_RS13280	NZ_CP009273.1	2670212	2671720	-	1509	27	41	16	29	18	32	58	70	57	93	52	121	52	70
BW25113_RS13285	NZ_CP009273.1	2671746	2672726	-	981	14	21	5	15	16	20	84	88	91	73	49	177	67	39
BW25113_RS13290	NZ_CP009273.1	2672826	2676104	-	3279	80	130	66	89	77	94	536	486	484	562	351	963	194	177
BW25113_RS13295	NZ_CP009273.1	2676222	2677412	+	1191	161	258	171	193	157	213	225	181	202	229	167	209	391	380
BW25113_RS13300	NZ_CP009273.1	2677616	2678866	-	1251	8392	12666	7317	10034	8355	11815	17137	15577	15926	31986	17516	23406	13082	12166
BW25113_RS13305	NZ_CP009273.1	2679194	2680381	+	1188	121	188	98	184	165	206	506	407	408	611	463	745	430	420
BW25113_RS13310	NZ_CP009273.1	2680432	2680767	-	336	557	801	509	729	569	800	492	460	469	767	524	509	878	832
BW25113_RS13315	NZ_CP009273.1	2680831	2682162	-	1332	826	1058	708	934	651	868	484	373	464	845	432	540	1002	1042
BW25113_RS13320	NZ_CP009273.1	2682155	2682865	-	711	537	655	382	550	410	505	358	278	300	504	242	363	720	731
BW25113_RS13325	NZ_CP009273.1	2683033	2684457	-	1425	450	639	403	560	423	512	531	443	447	698	440	603	794	743
BW25113_RS13330	NZ_CP009273.1	2685018	2688902	-	3885	1111	1772	1007	1433	1053	1505	565	504	494	1169	380	379	2289	2040
BW25113_RS13335	NZ_CP009273.1	2689160	2690713	+	1554	499	540	322	548	428	431	166	133	195	239	75	85	430	435
BW25113_RS13340	NZ_CP009273.1	2690716	2691216	-	501	662	945	608	868	676	816	263	244	253	508	210	241	671	642
BW25113_RS13345	NZ_CP009273.1	2691277	2691909	-	633	1203	1763	1104	1542	1171	1748	1068	846	903	1663	873	1100	1530	1493
BW25113_RS13350	NZ_CP009273.1	2692118	2692963	+	846	356	429	313	361	307	349	276	240	234	429	180	263	730	740
BW25113_RS13355	NZ_CP009273.1	2693022	2693279	+	258	68	106	79	103	91	86	22	24	23	35	22	23	118	108
BW25113_RS13360	NZ_CP009273.1	2693479	2693556	-	78	9	21	9	16	14	19	14	6	5	11	7	8	16	8
BW25113_RS13375	NZ_CP009273.1	2693980	2694357	-	378	312	447	302	387	256	370	366	270	323	473	323	383	423	388
BW25113_RS13380	NZ_CP009273.1	2694360	2695088	-	729	1537	2299	1322	1839	1431	1883	1706	1559	1684	2757	1529	2070	2059	1992
BW25113_RS13385	NZ_CP009273.1	2695103	2695828	-	726	1160	1838	999	1576	1147	1463	629	507	567	1258	503	350	1188	1088
BW25113_RS13390	NZ_CP009273.1	2695843	2696745	-	903	5180	6903	4569	6183	4511	6052	1802	1375	1746	3643	1398	1058	4040	4097
BW25113_RS13395	NZ_CP009273.1	2696745	2697422	-	678	3471	5024	3139	4251	3247	4121	1177	939	1207	1729	854	718	3294	3201
BW25113_RS13400	NZ_CP009273.1	2697697	2698668	-	972	4017	5833	3639	5207	3649	4843	1927	1450	1826	3550	1401	926	3451	3383
BW25113_RS13405	NZ_CP009273.1	2698687	2700483	-	1797	9648	15078	8462	12945	8586	11970	4810	3746	4701	9473	3617	2970	9574	9196
BW25113_RS13410	NZ_CP009273.1	2700684	2701160	-	477	1850	2954	1556	2570	1428	2195	1211	1156	1352	2311	823	1200	2301	2311
BW25113_RS13415	NZ_CP009273.1	2701160	2702113	-	954	4587	6910	3719	5535	3232	5067	3930	3602	4243	5924	2950	4473	6217	5934
BW25113_RS13420	NZ_CP009273.1	2702116	2702763	-	648	5653	7962	4291	6377	3629	5764	7106	6584	8075	11734	4827	10582	10316	10049
BW25113_RS13425	NZ_CP009273.1	2702799	2703371	-	573	2646	4116	1975	3345	1740	3037	3644	3588	3841	5154	2607	5796	5845	5935
BW25113_RS25695	NZ_CP009273.1	2703371	2703523	-	153	44	56	35	50	42	45	64	41	40	34	33	44	63	66
BW25113_RS13435	NZ_CP009273.1	2703779	2705398	+	1620	753	1026	490	694	533	906	497	393	442	845	374	347	2544	2323
BW25113_RS13440	NZ_CP009273.1	2705389	2706123	-	735	372	596	346	485	330	519	166	159	169	280	109	109	432	416
BW25113_RS13445	NZ_CP009273.1	2706255	2707586	+	1332	3817	5081	3156	4117	2000	2325	1377	1141	1332	2547	735	849	3117	3033
BW25113_RS13455	NZ_CP009273.1	2707801	2708679	-	879	150	279	169	206	189	241	251	210	193	313	181	223	289	295
BW25113_RS13460	NZ_CP009273.1	2708782	2709366	+	585	124	155	144	206	169	159	69	46	87	89	52	64	232	242
BW25113_RS13465	NZ_CP009273.1	2709428	2709808	-	381	17707	28572	16688	25120	20987	28034	25553	21001	21891	35196	20808	29466	72746	67069
BW25113_RS13470	NZ_CP009273.1	2710113	2710799	+	687	652	962	562	818	697	848	732	607	636	907	678	789	834	803
BW25113_RS13475	NZ_CP009273.1	2710853	2711887	-	1035	4716	6264	4340	6238	4770	6178	2544	1787	2444	4981	1951	1746	4429	4376
BW25113_RS13485	NZ_CP009273.1	2712094	2712510	+	417	989	543	524	563	993	391	842	496	1337	873	455	261	1307	1352
BW25113_RS13490	NZ_CP009273.1	2712582	2713277	+	696	782	910	607	775	763	783	345	218	331	538	238	213	625	617
BW25113_RS13495	NZ_CP009273.1	2713312	2715969	+	2658	1256	1715	1080	1519	1081	1493	8589	7490	7490	14355	7301	10047	4462	4207
BW25113_RS26195	NZ_CP009273.1	2716061	2716099	+	39	15	24	12	15	14	25	56	42	50	86	56	92	59	32
BW25113_RS13500	NZ_CP009273.1	2716086	2717438	+	1353	4116	5735	3336	4904	3866	4823	5562	4793	5277	7778	4366	6646	6127	6145
BW25113_RS13505	NZ_CP009273.1	2717487	2717807	+	321	169	234	171	190	174	196	172	196	203	348	154	235	257	296
BW25113_RS13510	NZ_CP009273.1	2717810	2719105	-	1296	1395	1888	1298	1725	1421	1673	2385	2130	2277	2696	1979	2852	3886	3705
BW25113_RS13540	NZ_CP009273.1	2724962	2727532	-	2571	5403	12040	4645	8752	4910	7865	7891	10589	10639	16409	8411	19894	28791	24937
BW25113_RS13545	NZ_CP009273.1	2727665	2728393	-	729	852	1390	831	1237	893	1344	511	410	459	906	405	457	1057	961
BW25113_RS13550	NZ_CP009273.1	2728393	2729370	-	978	1450	1951	1331	1815	1400	1816	912	738	706	1359	677	761	1665	1510
BW25113_RS13555	NZ_CP009273.1	2729505	2730239	+	735	5356	7393	4459	5856	4835	6080	4928	3911	4593	7315	4164	5092	6881	6528
BW25113_RS13565	NZ_CP009273.1	2730513	2730851	+	339	2080	1737	1358	1495	1372	1648	24699	27772	20562	29390	21225	34082	29234	24210
BW25113_RS25700	NZ_CP009273.1	2730958	2731002	+	45	13	17	8	10	10	13	24	23	19	23	17	32	32	33
BW25113_RS13570	NZ_CP009273.1	2731104	2732261	+	1158	735	1130	751	990	904	1148	719	535	652	988	619	809	1068	911
BW25113_RS13575	NZ_CP009273.1	2732310	2733428	-	1119	460	793	430	652	448	669	338	278	290	601	279	339	675	676
BW25113_RS13580	NZ_CP009273.1	2733442	2734509	-	1068	520	838	477	646	563	682	452	341	422	582	318	453	922	817
BW25113_RS13585	NZ_CP009273.1	2734719	2735081	+	363	37	45	35	26	29	27	32	40	39	34	21	38	66	83
BW25113_RS13590	NZ_CP009273.1	2735234	2735749	+	516	253	332	224	273	219	228	258	151	139	205	157	166	329	323
BW25113_RS13595	NZ_CP009273.1	2735742	2736965	+	1224	362	486	288	411	277	388	260	220	252	339	196	204	427	408
BW25113_RS13600	NZ_CP009273.1	2736984	2737463	+	480	422	504	412	466	414	440	247	213	212	331	190	284	418	357
BW25113_RS13605	NZ_CP009273.1	2737545	2737889	-	345	4341	7597	4118	7060	5053	7112	2751	2306	2328	3732	2676	1481	3759	3534
BW25113_RS13610	NZ_CP009273.1	2737934	2738698	-	765	30778	47406	28075	44639	32267	43023	17458	14550	15784	28319	16372	10366	22564	21530
BW25113_RS13615	NZ_CP009273.1	2738732	2739277	-	546	23652	36449	22324	34654	25205	33381	13207	11007	11750	21142	12454	7655	17949	17098
BW25113_RS13620	NZ_CP009273.1	2739299	2739544	-	246	12753	20153	11825	17791	13726	18324	6775	5824	6238	10148	6176	3907	9849	9358
BW25113_RS13625	NZ_CP009273.1	2739796	2741154	-	1359	7315	11454	6770	9551	7360	10195	5312	4392	4769	9653	4578	5565	8472	7915
BW25113_RS13630	NZ_CP009273.1	2741321	2742109	+	789	842	1217	700	932	761	1021	682	537	545	987	461	588	1154	1116
BW25113_RS13635	NZ_CP009273.1	2742133	2743416	+	1284	1046	1528	947	1346	1063	1346	740	603	647	1234	521	589	1393	1367
BW25113_RS13640	NZ_CP009273.1	2743477	2744067	-	591	3577	6066	3015	5021	3236	5076	4144	4420	4678	8199	4301	6112	6582	6417
BW25113_RS13650	NZ_CP009273.1	2744190	2745065	+	876	629	968	598	734	634	846	727	648	766	893	602	795	1218	1078
BW25113_RS13655	NZ_CP009273.1	2745154	2746812	+	1659	903	1208	874	1071	1006	1272	1069	842	839	1398	856	1151	1556	1425
BW25113_RS13660	NZ_CP009273.1	2746964	2747302	+	339	1078	1458	905	1199	876	1279	1048	914	945	1296	905	1240	1890	1799
BW25113_RS13665	NZ_CP009273.1	2747370	2747657	-	288	317	383	260	385	268	369	222	208	254	358	194	252	469	486
BW25113_RS13670	NZ_CP009273.1	2747650	2748084	-	435	904	1204	798	1116	857	990	790	687	706	1102	675	768	1389	1501
BW25113_RS13675	NZ_CP009273.1	2748255	2748734	+	480	1094	1545	930	1354	1030	1374	742	658	664	1029	643	670	1374	1305
BW25113_RS13680	NZ_CP009273.1	2749518	2750756	+	1239	799	1174	754	967	813	1003	1408	1215	1314	1605	1344	2035	1275	1216
BW25113_RS13685	NZ_CP009273.1	2751006	2751959	-	954	113	150	89	141	148	154	46	44	56	51	51	83	156	154
BW25113_RS13690	NZ_CP009273.1	2752003	2752212	+	210	8	9	3	4	8	11	8	8	5	3	5	4	15	18
BW25113_RS13695	NZ_CP009273.1	2752344	2753750	+	1407	25	21	19	26	21	33	15	13	18	14	21	16	27	41
BW25113_RS13700	NZ_CP009273.1	2753906	2754529	+	624	10	17	15	13	10	20	11	3	8	7	10	15	15	20
BW25113_RS13705	NZ_CP009273.1	2754713	2756899	-	2187	1420	2091	1219	1732	1321	1766	1191	998	1157	1865	1063	1366	1876	1920
BW25113_RS13710	NZ_CP009273.1	2756899	2758512	-	1614	2030	3003	1859	2440	1728	2597	1898	1742	1977	3034	1595	2285	3010	2752
BW25113_RS13715	NZ_CP009273.1	2758875	2759135	-	261	65	87	57	80	52	65	24	41	25	46	27	24	58	79
BW25113_RS13720	NZ_CP009273.1	2759277	2760347	+	1071	3564	4945	3057	4092	3508	4533	2966	2737	2893	3869	2899	3355	4328	3980
BW25113_RS13725	NZ_CP009273.1	2760343	2760711	+	369	605	906	492	802	627	781	571	512	474	647	492	559	919	841
BW25113_RS13730	NZ_CP009273.1	2761069	2761929	+	861	20	33	15	41	27	35	28	38	28	50	24	37	51	85
BW25113_RS13735	NZ_CP009273.1	2762024	2762842	+	819	32	31	27	17	24	28	24	23	21	38	10	23	31	36
BW25113_RS13740	NZ_CP009273.1	2763062	2763760	+	699	26	50	33	35	24	29	18	28	26	45	33	33	61	51
